place_id,selected_photo_index,selected_photo_path,photo_needs_placeholder,notes
4c8c0e6a-9282-4263-947f-696278747946,2,scraped_photos/4c8c0e6a-9282-4263-947f-696278747946_2.webp,False,timestamp_in_photo_3
9169150d-cc59-43d3-a73d-09b4b079888c,1,scraped_photos/9169150d-cc59-43d3-a73d-09b4b079888c.webp,False,
21f335d8-fd71-4e1a-97db-1923503b9391,2,scraped_photos/21f335d8-fd71-4e1a-97db-1923503b9391_2.webp,False,
16fc80bd-22fc-4e4f-bf02-78412b9680d9,1,scraped_photos/16fc80bd-22fc-4e4f-bf02-78412b9680d9.webp,False,timestamp_in_photo_2_3
7c96e942-974d-42fd-a5af-1f529c737f89,2,scraped_photos/7c96e942-974d-42fd-a5af-1f529c737f89_2.webp,False,timestamp_in_photo_1
60c85585-7e29-4564-a8dc-73bf3f5ceeb0,2,scraped_photos/60c85585-7e29-4564-a8dc-73bf3f5ceeb0_2.webp,False,
03a667cf-23c4-4cbf-a8c0-0d4f79b9accd,2,scraped_photos/03a667cf-23c4-4cbf-a8c0-0d4f79b9accd_2.webp,False,
f6c211d6-fe96-468e-b605-0db8e58417fe,2,scraped_photos/f6c211d6-fe96-468e-b605-0db8e58417fe_2.webp,False,faces_in_photo_1; timestamp_in_photo_1
209097aa-bb60-4ba6-b9a7-7cef4c46cb86,2,scraped_photos/209097aa-bb60-4ba6-b9a7-7cef4c46cb86_2.webp,False,timestamp_in_photo_1_3
6e267bc7-8506-4822-94e1-91ada4d43642,1,scraped_photos/6e267bc7-8506-4822-94e1-91ada4d43642.webp,False,faces_in_photo_2; timestamp_in_photo_1
dfae7236-2805-4e41-a9f9-28a79c250239,1,scraped_photos/dfae7236-2805-4e41-a9f9-28a79c250239.webp,False,
481bf83e-390b-4e92-809e-162f4216d78e,2,scraped_photos/481bf83e-390b-4e92-809e-162f4216d78e_2.webp,False,timestamp_in_photo_3
9880d33d-bc54-4088-9ad5-8fe21a344028,2,scraped_photos/9880d33d-bc54-4088-9ad5-8fe21a344028_2.webp,False,faces_in_photo_1
4f03bcdf-ac32-45f3-a447-ce013cd5b8fb,1,scraped_photos/4f03bcdf-ac32-45f3-a447-ce013cd5b8fb.webp,False,
